PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z 
1,573772934,0.4270128,-0.56429136,-0.37054595,-0.60160726,0.6831016540527344,-0.5571975708007812,-0.261067271232605,3.1229169368743896,0.6886258721351624, 0.03636213019490242
2,573789601,0.42686766,-0.5765188,-0.35972363,-0.59666497,10.172104835510254,-2.6097500324249268,1.3240646123886108,-61.207313537597656,-87.62612915039062, -32.03187561035156
3,573806268,0.42919782,-0.59013253,-0.34913883,-0.5879075,9.74841022491455,-2.4622604846954346,1.360996961593628,-45.678253173828125,-91.6964340209961, -32.69846725463867
4,573822935,0.42989966,-0.6014836,-0.34263057,-0.579662,9.530211448669434,-2.008817195892334,1.2854845523834229,-35.37086486816406,-95.16717529296875, -32.536155700683594
5,573839602,0.4275122,-0.61111766,-0.3406771,-0.5724577,9.40482234954834,-1.56565260887146,0.44913941621780396,-31.216388702392578,-102.51202392578125, -31.389551162719727
6,573856269,0.42212015,-0.6206387,-0.34321746,-0.5646451,9.50490665435791,-1.6671494245529175,0.5118462443351746,-24.66595458984375,-109.95951843261719, -30.14030647277832
7,573872936,0.41554207,-0.6298039,-0.34793973,-0.55642605,9.587178230285645,-1.3099924325942993,-0.10496662557125092,-19.77505111694336,-116.06185150146484, -28.969589233398438
8,573889603,0.40749443,-0.6391498,-0.35420159,-0.547702,9.737159729003906,-1.2805591821670532,-0.693579912185669,-19.02996253967285,-121.12178039550781, -27.57819175720215
9,573906270,0.3984825,-0.6487401,-0.3610921,-0.53847975,9.999930381774902,-1.2895147800445557,-0.9570412635803223,-19.6336612701416,-123.0077896118164, -25.34783363342285
10,573922937,0.38890222,-0.6583629,-0.36761484,-0.5293137,10.582159996032715,-1.1664379835128784,-1.5655817985534668,-23.346763610839844,-120.9356689453125, -22.170385360717773
11,573939604,0.37817365,-0.66827667,-0.3729412,-0.5208705,10.434971809387207,-0.8012078404426575,-1.5494592189788818,-34.97749710083008,-116.13981628417969, -19.13776397705078
12,573956271,0.36604106,-0.6785159,-0.37685284,-0.5134318,10.287711143493652,-0.5454084277153015,-1.904153823852539,-49.49232482910156,-112.85232543945312, -16.426420211791992
13,573972938,0.35253957,-0.6887587,-0.3797723,-0.50705063,11.264201164245605,0.5226717591285706,-2.185459613800049,-61.601810455322266,-109.09783935546875, -16.87782096862793
14,573989605,0.3372358,-0.69867945,-0.38169944,-0.5024187,12.045994758605957,1.2518450021743774,-1.5496587753295898,-76.20701599121094,-103.04252624511719, -18.90973472595215
15,574006272,0.3209596,-0.70777714,-0.38280627,-0.49949571,12.143407821655273,1.300517201423645,-0.3298957943916321,-85.07042694091797,-96.52702331542969, -20.005367279052734
16,574022939,0.30401757,-0.7159022,-0.38328543,-0.49814644,12.988208770751953,1.971410870552063,0.31075650453567505,-91.7141342163086,-92.06422424316406, -22.980281829833984
17,574039606,0.2865757,-0.72304726,-0.38343942,-0.49804744,13.901647567749023,1.3156301975250244,1.3250209093093872,-95.53204345703125,-89.7277603149414, -26.219871520996094
18,574056273,0.2702235,-0.7289019,-0.38364077,-0.49849895,13.505874633789062,0.018765181303024292,2.7305896282196045,-88.4647445678711,-86.90986633300781, -27.719585418701172
19,574072940,0.255082,-0.73388916,-0.38367605,-0.49913207,13.445261001586914,-2.415050983428955,2.7883002758026123,-82.22999572753906,-86.54541015625, -28.497920989990234
20,574089607,0.2422784,-0.7383423,-0.38343444,-0.49912927,13.032036781311035,-6.294089317321777,3.8475990295410156,-70.32829284667969,-86.27100372314453, -25.456815719604492
21,574106274,0.22969775,-0.7431685,-0.38002717,-0.50051904,11.897459030151367,-8.787360191345215,5.35764741897583,-87.5451431274414,-79.09046936035156, -19.531511306762695
22,574122941,0.21102604,-0.7503926,-0.3719557,-0.5040119,13.023773193359375,-8.074875831604004,-1.219048023223877,-147.69552612304688,-89.053955078125, -24.31281852722168
23,574139608,0.1884258,-0.7592306,-0.36274654,-0.5064383,16.578598022460938,-7.867201805114746,-7.826703071594238,-174.55465698242188,-104.88434600830078, -34.37369155883789
24,574156275,0.16541009,-0.7675648,-0.3534474,-0.5084869,19.659215927124023,-2.4743051528930664,-6.175677299499512,-178.4023895263672,-98.22200775146484, -42.275516510009766
25,574172942,0.14730138,-0.77202815,-0.34491318,-0.51313734,10.313680648803711,-13.806066513061523,2.6696059703826904,-152.03375244140625,-56.21629333496094, -42.316246032714844
26,574189609,0.14957748,-0.7704445,-0.34406927,-0.5154205,8.529481887817383,-7.295200347900391,4.834654331207275,-8.081887245178223,-7.601403713226318, -30.754169464111328
27,574206276,0.15557058,-0.76591307,-0.3397423,-0.52321136,9.559347152709961,-3.1473217010498047,3.504941463470459,-10.49918270111084,42.470970153808594, -12.822104454040527
28,574222943,0.16304201,-0.75938207,-0.330349,-0.5363074,9.399078369140625,-3.3526861667633057,2.0094680786132812,-29.518775939941406,85.85432434082031, 10.37336540222168
29,574239610,0.17373842,-0.75068164,-0.3169928,-0.5529986,7.76078462600708,-4.766747951507568,2.15824294090271,-31.51624870300293,125.26394653320312, 35.103736877441406
30,574256277,0.19017279,-0.74060744,-0.30034792,-0.57019824,6.953751087188721,-6.0163350105285645,1.2089420557022095,-12.702188491821289,150.84140014648438, 70.69044494628906
31,574272944,0.21496633,-0.728495,-0.2836212,-0.58535784,7.893224239349365,-3.9011995792388916,0.8581412434577942,37.288238525390625,167.55197143554688, 102.47599029541016
32,574289611,0.24490899,-0.7143288,-0.26652232,-0.5989322,8.912690162658691,-1.8332509994506836,0.5737424492835999,68.80530548095703,179.89346313476562, 125.08451843261719
